Fullname	CCY	Last	+/-	%	Bid	Ask	Volume	Turnover	Updated (CET)
ABB Ltd	SEK	683.00	+4.40	+0.64%	681.40	681.80	453,736	308,982,606	18:00:00
Addtech B	SEK	325.60	+2.00	+0.61%	325.40	325.80	350,644	114,134,399	18:00:00
Alfa Laval	SEK	460.60	+3.90	+0.85%	458.40	458.60	834,570	384,199,339	18:00:00
ASSA ABLOY B	SEK	355.80	+0.80	+0.22%	356.20	356.40	1,924,559	685,032,972	18:00:00
AstraZeneca	SEK	1,701.00	+16.50	+0.97%	1,700.00	1,700.50	283,942	480,673,375	18:00:00
Atlas Copco A	SEK	164.05	+0.85	+0.52%	164.00	164.10	5,327,339	873,528,240	18:00:00
Boliden	SEK	498.20	+5.90	+1.19%	497.30	497.50	1,621,368	806,020,703	18:00:00
Epiroc A	SEK	206.70	-1.50	-0.72%	206.40	206.60	2,926,875	605,520,732	18:00:00
EQT	SEK	351.80	+6.80	+1.97%	352.40	352.60	6,554,439	2,300,568,085	18:00:00
Ericsson B	SEK	90.42	+0.30	+0.33%	90.28	90.32	8,433,509	762,114,500	18:00:00
Essity B	SEK	265.10	-1.00	-0.37%	265.00	265.10	1,857,487	492,519,760	18:00:00
Evolution	SEK	624.80	+0.80	+0.12%	622.40	622.60	1,266,337	790,983,032	18:00:00
Hennes & Mauritz B	SEK	183.90	-3.85	-2.05%	183.95	184.05	4,538,822	836,489,758	18:00:00
Hexagon B	SEK	107.00	+0.20	+0.18%	107.05	107.15	4,964,511	531,028,156	18:00:00
Industrivärden C	SEK	408.20	+1.00	+0.24%	408.40	408.60	424,135	173,042,714	18:00:00
Investor B	SEK	323.10	+2.05	+0.63%	322.85	322.95	4,327,625	1,395,810,389	18:00:00
Lifco B	SEK	351.80	+3.40	+0.97%	352.00	352.40	429,040	150,895,807	18:00:00
NIBE Industrier B	SEK	34.99	-0.14	-0.39%	34.97	34.99	6,297,781	220,747,092	18:00:00
Nordea Bank Abp	SEK	171.85	+1.25	+0.73%	171.65	171.75	5,078,865	873,474,999	18:00:00
SAAB B	SEK	508.70	+4.60	+0.91%	509.00	509.20	2,028,470	1,027,868,849	18:00:00
Sandvik	SEK	295.70	+0.60	+0.20%	296.20	296.40	3,213,548	949,483,303	18:00:00
SCA B	SEK	120.85	-1.05	-0.86%	120.80	120.90	1,852,731	224,037,825	18:00:00
SEB A	SEK	192.75	+1.95	+1.02%	192.85	192.95	4,099,697	790,115,703	18:00:00
Skanska B	SEK	250.00	-0.40	-0.15%	249.10	249.30	1,037,568	259,368,643	18:00:00
SKF B	SEK	241.90	+0.20	+0.08%	241.60	241.80	1,347,701	325,801,125	18:00:00
Sv. Handelsbanken A	SEK	132.55	+1.35	+1.02%	132.35	132.40	6,583,809	871,875,783	18:00:00
Swedbank A	SEK	315.70	+3.60	+1.15%	315.70	315.90	2,936,891	926,118,768	18:00:00
Tele2 B	SEK	153.10	+0.20	+0.13%	153.15	153.25	2,288,603	350,402,942	18:00:00
Telia Company	SEK	38.60	-0.04	-0.10%	38.67	38.69	8,164,111	315,247,592	18:00:00
Volvo B	SEK	294.20	-0.20	-0.06%	294.40	294.60	4,335,808	1,276,278,853	18:00:00